user_id;segment_perk_assigned
23557;free_meal
94883;free_meal
101486;free_meal
101961;free_hotel_night_with_flight
106907;free_cancellation
118043;free_hotel_night_with_flight
120851;exclusive_discounts
125845;exclusive_discounts
133058;free_hotel_night_with_flight
149058;free_cancellation
152583;free_checkedbag
153982;free_cancellation
160754;free_checkedbag
164522;free_checkedbag
167852;exclusive_discounts
171470;exclusive_discounts
174997;free_cancellation
175032;free_cancellation
181157;exclusive_discounts
182191;free_checkedbag
187212;free_hotel_night_with_flight
189676;free_checkedbag
190866;free_cancellation
195192;exclusive_discounts
204943;free_cancellation
204997;free_cancellation
205044;free_hotel_night_with_flight
206011;free_cancellation
216796;free_checkedbag
217114;free_checkedbag
217136;exclusive_discounts
220725;free_hotel_night_with_flight
224996;free_hotel_night_with_flight
226367;free_meal
228195;exclusive_discounts
228872;free_checkedbag
229009;free_cancellation
229108;exclusive_discounts
229330;free_meal
232647;free_checkedbag
249521;free_checkedbag
252835;free_cancellation
258451;exclusive_discounts
264470;free_hotel_night_with_flight
276512;free_checkedbag
281952;free_checkedbag
283325;free_meal
290123;free_cancellation
297546;free_cancellation
298253;free_checkedbag
299476;exclusive_discounts
306165;free_checkedbag
306819;free_cancellation
312488;free_checkedbag
313724;free_cancellation
316527;free_cancellation
317688;free_cancellation
322867;free_checkedbag
324191;free_meal
328590;free_hotel_night_with_flight
330764;free_checkedbag
330893;free_checkedbag
331039;free_hotel_night_with_flight
334787;free_checkedbag
337227;free_checkedbag
338086;free_hotel_night_with_flight
340166;free_meal
343928;free_checkedbag
347778;free_meal
348817;free_cancellation
348863;free_checkedbag
349132;free_meal
350648;exclusive_discounts
353271;exclusive_discounts
353694;free_meal
354050;free_cancellation
354260;free_checkedbag
354311;free_hotel_night_with_flight
354950;free_checkedbag
356046;free_meal
357737;free_cancellation
359072;free_cancellation
359080;free_checkedbag
359653;free_checkedbag
361459;free_checkedbag
361759;free_cancellation
363535;exclusive_discounts
365825;free_meal
371201;free_checkedbag
